BinhLuan,Nhan
Nội dung cực kỳ chill 😍,1
Cách dựng phim cực kỳ buồn ngủ cần cải thiện,0
Cách dựng phim thật sự tệ phí thời gian,0
Quảng cáo cực kỳ nhảm nhí phí thời gian,0
Cách dựng phim rất nhạt nhẽo !,0
Quảng cáo quá nhiều nhảm nhí hụt hẫng,0
Kênh này quá tệ tắt đi luôn,0
Âm thanh cực kỳ nhảm nhí chán hẳn,0
Nội dung quá rác tắt đi luôn,0
Kênh này rất buồn ngủ chán hẳn,0
Âm thanh thật sự buồn ngủ cần cải thiện,0
Kênh này hơi nhạt nhẽo hụt hẫng,0
Nội dung rất cuốn ❤️,1
Nhạc quá rác !,0
Hình ảnh khá hay nha,1
Hình ảnh khá cuốn quá chừng,1
Nhạc quá buồn ngủ chán hẳn,0
Âm thanh quá nhiều nhảm nhí 😡,0
Kênh này khá đỉnh cao nha,1
Nội dung thật sự chill nha,1
Kênh này rất cuốn quá chừng,1
Nhạc vô cùng sâu lắng quá chừng,1
Cách dựng phim cực kỳ nhảm nhí 😡,0
Hình ảnh khá sâu lắng 10 điểm,1
Beat nhạc thật sự chill ❤️,1
Quảng cáo thật sự nhảm nhí phí thời gian,0
Nhạc quá cuốn quá chừng,1
Nội dung thật sự đỉnh cao luôn,1
Hình ảnh khá bổ ích ❤️,1
"Dựng phim đỉnh thực sự, màu sắc nét căng, 10 điểm không có nhưng.",1
"Quảng cáo chèn vào quá nhiều, trải nghiệm cực kỳ ức chế.",0
Kênh này khá cuốn nhé,1
Kênh này quá nhiều ồn ào hụt hẫng,0
Cách truyền đạt cực kỳ đỉnh cao 10 điểm,1
Video vô cùng chất lượng ❤️,1
"Xin lỗi nhưng video này làm hời hợt quá, không bằng các tập trước.",0
"Quảng cáo chèn vào quá nhiều, trải nghiệm cực kỳ ức chế.",0
Kênh này quá nhiều nhảm nhí phí thời gian,0
Nhạc quá hay mong chờ tập sau,1
Kênh này quá rác !,0
Video vô cùng hay ❤️,1
Hình ảnh khá sâu lắng 10 điểm,1
Bài hát rất chuyên nghiệp 10 điểm,1
"Xin lỗi nhưng video này làm hời hợt quá, không bằng các tập trước.",0
"Dựng phim đỉnh thực sự, màu sắc nét căng, 10 điểm không có nhưng.",1
Nội dung giật gân câu view chứ chả có giá trị gì cả.,0
"Nhạc nền quá to đè hết cả tiếng người nói, quá tệ.",0
Nhạc quá tệ !,0
Kênh này quá nhiều nhạt nhẽo 😡,0
Cách dựng phim thật sự tệ 😡,0
"Xin lỗi nhưng video này làm hời hợt quá, không bằng các tập trước.",0
Nhạc cực kỳ nhạt nhẽo thua,0
Cách dựng phim quá buồn ngủ phí thời gian,0
Hình ảnh cực kỳ sâu lắng luôn,1
"Nhạc nền quá to đè hết cả tiếng người nói, quá tệ.",0
"Âm thanh mic rè rè, nghe đau hết cả đầu, chán thật sự.",0
"Nghe bài này xong thấy lòng bình yên đến lạ, ủng hộ kênh nhiều.",1
Âm thanh rất ồn ào 😡,0
Nội dung thật sự ồn ào 😡,0
Kênh này thật sự ồn ào thua,0
Video cực kỳ tệ hụt hẫng,0
Kênh này hơi ồn ào 😡,0
Nội dung giật gân câu view chứ chả có giá trị gì cả.,0
Kênh này khá chất lượng quá chừng,1
Beat nhạc cực kỳ ý nghĩa quá chừng,1
Nội dung quá nhiều nhạt nhẽo 😡,0
Video quá nhiều rác tắt đi luôn,0
Nhạc hơi ồn ào 😡,0
Cách dựng phim thật sự chán hụt hẫng,0
Nội dung giật gân câu view chứ chả có giá trị gì cả.,0
Cách dựng phim rất nhạt nhẽo cần cải thiện,0
Nội dung hơi thiếu tôn trọng người xem cần cải thiện,0
Video quá nhiều nhảm nhí tắt đi luôn,0
Nhạc rất nhảm nhí tắt đi luôn,0
Video rất đỉnh cao ❤️,1
Nhạc vô cùng chill luôn,1
Nội dung giật gân câu view chứ chả có giá trị gì cả.,0
"Hướng dẫn chi tiết dễ hiểu, cảm ơn kênh rất nhiều nha.",1
Cách truyền đạt rất bổ ích ❤️,1
Nội dung hơi buồn ngủ cần cải thiện,0
Video thật sự sâu lắng luôn,1
Kênh này rất đỉnh cao mong chờ tập sau,1
Âm thanh cực kỳ thiếu tôn trọng người xem 😡,0
Kênh này quá nhạt nhẽo 😡,0
Video quá chán hụt hẫng,0
Cách dựng phim quá nhiều rác chán hẳn,0
Cách truyền đạt thật sự hay nha,1
Nhạc quá chất lượng 😍,1
Bài hát rất hay 😍,1
Cách dựng phim quá nhạt nhẽo 😡,0
Hình ảnh thật sự chất lượng nha,1
Quảng cáo quá nhiều thiếu tôn trọng người xem 😡,0
Cách dựng phim quá nhiều ồn ào phí thời gian,0
"Nghe bài này xong thấy lòng bình yên đến lạ, ủng hộ kênh nhiều.",1
Video cực kỳ chuyên nghiệp luôn,1
Nhạc thật sự chán 😡,0
"Dựng phim đỉnh thực sự, màu sắc nét căng, 10 điểm không có nhưng.",1
Nội dung giật gân câu view chứ chả có giá trị gì cả.,0
"Nội dung bổ ích, học hỏi được rất nhiều từ video này.",1
Kênh này thật sự cuốn 😍,1
"Nhạc nền quá to đè hết cả tiếng người nói, quá tệ.",0
Âm thanh quá ồn ào phí thời gian,0
Cách dựng phim hơi buồn ngủ phí thời gian,0
Cách dựng phim cực kỳ rác phí thời gian,0
Beat nhạc cực kỳ ý nghĩa 😍,1
Bật chế độ lặp lại nghe cả ngày không chán luôn á.,1
Nhạc hơi thiếu tôn trọng người xem !,0
Kênh này vô cùng ý nghĩa ❤️,1
"Xin lỗi nhưng video này làm hời hợt quá, không bằng các tập trước.",0
Âm thanh rất ồn ào 😡,0
Beat nhạc vô cùng ý nghĩa quá chừng,1
Quảng cáo quá nhạt nhẽo phí thời gian,0
Kênh này quá nhiều tệ chán hẳn,0
Hình ảnh khá chill nha,1
Nhạc quá đỉnh cao nha,1
Cách dựng phim thật sự thiếu tôn trọng người xem 😡,0
Nhạc thật sự sâu lắng 😍,1
Kênh này hơi buồn ngủ tắt đi luôn,0
Nhạc cực kỳ cuốn mong chờ tập sau,1
Video quá nhiều tệ 😡,0
Nội dung cực kỳ tệ chán hẳn,0
"Quảng cáo chèn vào quá nhiều, trải nghiệm cực kỳ ức chế.",0
"Âm thanh mic rè rè, nghe đau hết cả đầu, chán thật sự.",0
Âm thanh quá ồn ào chán hẳn,0
Bật chế độ lặp lại nghe cả ngày không chán luôn á.,1
Quảng cáo cực kỳ thiếu tôn trọng người xem hụt hẫng,0
Cách dựng phim hơi rác chán hẳn,0
"Quảng cáo chèn vào quá nhiều, trải nghiệm cực kỳ ức chế.",0
"Quảng cáo chèn vào quá nhiều, trải nghiệm cực kỳ ức chế.",0
Kênh này quá ý nghĩa nha,1
"Nhạc nền quá to đè hết cả tiếng người nói, quá tệ.",0
Nội dung hơi buồn ngủ !,0
Quảng cáo quá chán thua,0
Cách dựng phim thật sự rác thua,0
Kênh này thật sự thiếu tôn trọng người xem cần cải thiện,0
Âm thanh cực kỳ rác cần cải thiện,0
Quảng cáo rất nhảm nhí chán hẳn,0
"Nghe bài này xong thấy lòng bình yên đến lạ, ủng hộ kênh nhiều.",1
Nhạc rất chán phí thời gian,0
Kênh này rất nhảm nhí hụt hẫng,0
Nội dung vô cùng sâu lắng 10 điểm,1
Nhạc vô cùng sâu lắng ❤️,1
Nội dung giật gân câu view chứ chả có giá trị gì cả.,0
"Hướng dẫn chi tiết dễ hiểu, cảm ơn kênh rất nhiều nha.",1
Nội dung rất nhảm nhí !,0
Hình ảnh thật sự ý nghĩa nhé,1
